종목,현재가,고가,저가,변동,변동 %,거래량,시간
Univ. Display,126.40,127.46,122.32,+6.90,+5.77%,435.81K,14/05
Celldex Therapeutics,29.99,30.09,28.29,+1.97,+7.03%,430.39K,14/05
Hollysys Automation Tech,14.96,15.24,14.80,-0.10,-0.66%,429.76K,14/05
Weatherford Intl,30.14,30.93,29.41,+0.92,+3.15%,429.63K,14/05
신타스,375.97,378.60,364.63,+9.76,+2.67%,428.95K,14/05
Pixelworks,2.180,2.196,2.100,+0.110,+5.31%,428.67K,14/05
ArcBest Corp,75.14,78.38,74.97,+0.84,+1.13%,428.00K,14/05
QuinStreet,10.31,10.37,9.72,+0.38,+3.83%,425.04K,14/05
First Fin Bshar,40.89,41.36,40.49,+0.08,+0.20%,422.71K,14/05
ADTRAN Inc,17.58,17.66,17.18,+0.33,+1.91%,420.91K,14/05
NuVasive,52.64,52.89,50.87,+2.23,+4.42%,419.43K,14/05
Power Integrat,84.13,84.88,81.32,+3.89,+4.85%,419.23K,14/05
Jazz Pharma,146.49,148.89,144.10,+3.68,+2.58%,417.90K,14/05
SEI Investments,54.84,55.30,54.00,+0.95,+1.76%,416.17K,14/05
F5 네트웍스,168.57,168.99,163.13,+5.45,+3.34%,415.33K,14/05
Aehr Test Systems,8.030,8.140,7.600,+0.610,+8.22%,412.82K,14/05
Repligen Corp,150.40,152.01,146.32,+6.33,+4.39%,412.55K,14/05
MillerKnoll,29.40,29.97,28.73,+0.69,+2.40%,411.82K,14/05
파파존스 인터내셔널,81.66,83.02,80.32,+1.85,+2.32%,409.24K,14/05
디지털 앨리,1.0300,1.0300,0.9604,+0.0800,+8.42%,409.05K,14/05
Perficient,101.39,101.97,95.28,+7.17,+7.61%,407.82K,14/05
OceanFirst Fin.,18.93,19.08,18.73,+0.17,+0.91%,406.95K,14/05
Primoris Ser,22.84,23.21,22.59,+0.15,+0.66%,404.35K,14/05
Points International,24.07,24.39,24.01,+0.12,+0.50%,401.70K,14/05
Axcelis Tech,58.65,59.44,55.35,+4.37,+8.05%,401.29K,14/05
Ameris Bancorp,42.78,43.35,42.34,+0.28,+0.66%,398.34K,14/05
Aeterna Zentaris,0.2451,0.2490,0.2280,+0.0096,+4.08%,398.04K,14/05
PRA Group Inc,38.15,39.07,37.73,-0.29,-0.75%,397.70K,14/05
Royal Gold Inc,118.00,119.59,116.45,+0.12,+0.10%,397.59K,14/05
이리디움 커뮤,34.59,34.96,34.13,+0.66,+1.95%,397.28K,14/05
Vericel Corp Ord,28.30,28.54,27.54,+0.94,+3.44%,395.69K,14/05
뉴에그 커머스,4.83,4.97,4.71,+0.18,+3.87%,392.59K,14/05
EMCORE Corp,3.190,3.255,3.140,+0.010,+0.31%,391.35K,14/05
Nexstar,172.12,172.80,167.10,+4.71,+2.81%,384.29K,14/05
Landstar System,155.65,160.74,155.15,-1.08,-0.69%,382.14K,14/05
Manhattan Ass,121.78,123.34,116.06,+6.33,+5.48%,381.27K,14/05
Pinnacle Fin.,75.93,77.19,75.16,+0.79,+1.05%,379.85K,14/05
Ribbon Com,3.100,3.130,2.970,+0.150,+5.08%,376.62K,14/05
Perion Network,19.42,19.70,18.58,+1.17,+6.41%,373.45K,14/05
Conns,14.62,14.79,14.23,+0.26,+1.81%,372.87K,14/05
코후,28.04,28.26,26.53,+1.78,+6.78%,370.71K,14/05
Rave Restaurant,0.8700,0.9799,0.8500,+0.0100,+1.16%,364.58K,14/05
AAON,53.37,54.24,52.69,+0.36,+0.68%,361.70K,14/05
Euronet,115.52,116.21,110.18,+5.27,+4.78%,360.72K,14/05
Itron Inc,48.31,48.90,46.49,+2.28,+4.95%,357.08K,14/05
LHC Group,164.50,165.88,164.11,-0.36,-0.22%,349.91K,14/05
Natus Medical,32.57,32.74,32.31,-0.01,-0.03%,348.69K,14/05
Fanhua,6.00,6.62,5.48,-0.61,-9.23%,347.39K,14/05
Mitek Systems,9.55,9.69,9.34,+0.21,+2.25%,347.10K,14/05
Chefs Warehouse,36.74,37.43,35.23,+1.81,+5.18%,346.32K,14/05
Ceragon,1.690,1.700,1.590,+0.110,+6.96%,345.08K,14/05
아메디시스,121.57,123.89,116.66,+6.12,+5.30%,345.07K,14/05
Photronics,15.42,15.58,14.73,+0.70,+4.76%,344.27K,14/05
Destination XL Group,4.360,4.510,4.190,+0.220,+5.31%,342.70K,14/05
커클랜드,7.11,7.32,7.03,+0.10,+1.43%,341.84K,14/05
iRobot Corp,47.56,47.78,45.33,+2.93,+6.57%,340.37K,14/05
Clarus,22.26,22.30,19.99,+2.63,+13.40%,340.08K,14/05
Pool Corp,411.16,413.18,405.37,+8.41,+2.09%,337.19K,14/05
Liquidity Ser,12.90,12.98,12.35,+0.66,+5.39%,333.95K,14/05
코웬 그룹,24.02,24.53,23.76,+0.54,+2.30%,333.67K,14/05
Pacific Premier,31.55,31.80,31.34,+0.48,+1.54%,331.29K,14/05
Methanex,47.44,48.34,46.98,+0.98,+2.11%,328.28K,14/05
Grand Canyon,87.31,87.82,86.09,-0.06,-0.07%,323.52K,14/05
CalAmp Corp,5.49,5.54,4.94,+0.48,+9.58%,321.11K,14/05
Brookline BCorp,14.38,14.51,14.29,+0.02,+0.14%,320.76K,14/05
The9 ADR,1.52,1.55,1.42,+0.13,+9.35%,320.35K,14/05
Kearny Financial,11.75,11.86,11.70,-0.05,-0.42%,318.70K,14/05
Integra LifeSci,59.32,59.45,57.88,+1.50,+2.59%,317.76K,14/05
Monro Muffler,46.10,46.55,45.04,+1.42,+3.18%,317.18K,14/05
내셔널 베버리지,49.63,49.80,46.98,+2.99,+6.41%,317.14K,14/05
Kandi Technolgies,2.330,2.390,2.250,+0.120,+5.43%,313.82K,14/05
BioLineRx Ltd,1.200,1.240,1.080,+0.120,+11.11%,313.65K,14/05
Harvard Biosci,3.780,3.890,3.740,+0.040,+1.07%,313.63K,14/05
ODP,41.25,42.51,40.28,-0.12,-0.29%,312.58K,14/05
락웰 메디컬,2.0200,2.3000,1.9200,-0.3538,-14.90%,310.50K,14/05
Casella Waste,70.29,70.82,68.75,+1.62,+2.36%,307.53K,14/05
Acorda Therap,0.738,0.799,0.715,+0.089,+13.64%,307.50K,14/05
디지마크,18.31,20.95,17.09,-1.89,-9.36%,306.99K,14/05
Exponent,88.53,90.54,87.77,+0.74,+0.84%,305.19K,14/05
부킹홀딩스,"2,101.89","2,124.99","2,072.21",+48.84,+2.38%,301.85K,14/05
Commerce Bancshar,66.94,67.97,66.27,-0.11,-0.16%,299.99K,14/05
Schnitzer Steel,37.40,38.50,36.95,+0.91,+2.49%,297.56K,14/05
Greenlight Capital Re,7.330,7.370,7.250,-0.020,-0.27%,293.76K,14/05
Blackbaud,54.33,54.92,51.94,+3.24,+6.34%,292.70K,14/05
마켓액세스홀딩스,263.38,265.75,259.13,+6.12,+2.38%,290.04K,14/05
First Merchants,39.36,39.67,39.07,+0.09,+0.23%,289.90K,14/05
South State,75.40,75.63,74.13,+0.94,+1.26%,289.29K,14/05
BancFirst Corp,82.03,83.31,81.66,-0.97,-1.17%,288.37K,14/05
에어로 바이론먼트,80.15,80.95,77.38,+4.11,+5.41%,287.98K,14/05
Gladstone Comm,19.36,19.40,18.68,+0.69,+3.70%,287.42K,14/05
FormFactor,39.38,39.82,38.53,+1.29,+3.39%,286.86K,14/05
Allot Communications,5.27,5.34,5.08,+0.17,+3.33%,285.04K,14/05
Cracker Barrel,108.85,111.66,108.24,+0.21,+0.19%,283.47K,14/05
Insight Enterp,99.41,100.00,97.80,+2.36,+2.43%,281.54K,14/05
Nice ADR,202.86,204.15,194.01,+12.74,+6.70%,280.00K,14/05
Dorchester Minera,28.11,28.11,26.04,+1.72,+6.52%,277.30K,14/05
BJs Restaurants,25.68,26.45,25.50,+0.55,+2.19%,276.91K,14/05
EW Scripps A,15.08,15.23,14.70,+0.20,+1.34%,273.82K,14/05
Consolidat. Com,6.090,6.120,6.000,+0.120,+2.01%,273.66K,14/05
Omnicell,111.28,112.56,108.24,+3.42,+3.17%,272.96K,14/05
Hibbett Sports,45.32,45.96,44.52,+1.12,+2.53%,270.91K,14/05
ICU Medical,175.26,180.50,174.12,+0.72,+0.41%,269.38K,14/05
Innovative Soluti,8.790,8.960,7.850,+0.780,+9.74%,267.44K,14/05
Franklin Elect,71.36,72.07,69.46,+1.02,+1.45%,267.26K,14/05
Mercer Int,14.85,15.07,14.63,+0.14,+0.95%,262.22K,14/05
AudioCodes,20.59,20.81,20.16,+0.47,+2.34%,257.87K,14/05
Merit Medical,58.85,59.48,57.56,+1.82,+3.19%,256.33K,14/05
Albireo Pharma,28.00,28.94,27.39,-0.11,-0.39%,255.70K,14/05
Cogent Comm,59.17,59.58,58.00,+0.70,+1.20%,254.26K,14/05
ScanSource,37.70,38.63,37.35,-0.08,-0.21%,251.34K,14/05
애비드 테크,22.95,23.47,22.74,+0.41,+1.82%,251.14K,14/05
Interface,13.26,13.77,13.21,-0.09,-0.67%,246.24K,14/05
FreightCar Amer,3.910,4.090,3.800,+0.050,+1.30%,246.12K,14/05
Luna Innovations,5.38,5.40,5.15,+0.20,+3.86%,245.70K,14/05
Seacoast Bank,32.97,33.40,32.35,+0.35,+1.07%,245.06K,14/05
Shyft Group Inc,22.78,23.04,22.23,+0.70,+3.17%,244.77K,14/05
Urban One Inc,9.400,9.470,8.480,+0.910,+10.72%,244.37K,14/05
Blueknight Energy,4.500,4.510,4.490,-0.010,-0.22%,243.15K,14/05
H&E Equipment,34.59,35.15,33.56,+0.96,+2.85%,241.12K,14/05
Citi Trends,28.88,29.84,28.08,+0.90,+3.22%,240.56K,14/05
Horizon Tech,12.06,12.22,12.02,+0.12,+1.00%,240.52K,14/05
Sohu.Com,14.44,14.77,14.09,+0.53,+3.81%,234.24K,14/05
Creative Realities,0.710,0.710,0.627,+0.060,+9.23%,233.82K,14/05
Ensign Group,78.80,79.59,77.68,+0.93,+1.19%,231.99K,14/05
Patrick Ind.,67.84,68.43,65.22,+2.63,+4.03%,231.88K,14/05
Kimball International,8.56,8.65,8.19,+0.09,+1.06%,231.47K,14/05
Huron Consult,58.86,59.33,57.06,+1.65,+2.88%,230.84K,14/05
Cadiz,1.92,2.04,1.88,-0.07,-3.52%,229.26K,14/05
Diodes Inc,74.51,75.73,73.13,+2.26,+3.13%,227.01K,14/05
AVEO Pharma,4.000,4.025,3.600,+0.430,+12.04%,225.48K,14/05
EZCORP,7.180,7.206,7.050,+0.150,+2.13%,225.23K,14/05
Churchill Downs,193.92,194.85,189.21,+8.78,+4.74%,224.27K,14/05
MGP Ingredients,102.31,102.32,96.50,+6.28,+6.54%,222.69K,14/05
American National Insurance,189.65,190.40,189.11,+0.15,+0.08%,220.89K,14/05
Intl Ban,39.72,40.19,39.55,+0.05,+0.13%,220.62K,14/05
Ruth's Hospitality,19.24,19.70,19.00,+0.37,+1.96%,219.49K,14/05
Encore Cptl Gr,58.66,59.69,58.38,-0.31,-0.53%,219.45K,14/05
Kelly Services,17.86,18.34,17.32,+0.37,+2.12%,219.21K,14/05
AXT Inc,5.47,5.62,5.24,+0.29,+5.60%,217.03K,14/05
Cardiovascular,15.94,16.25,15.64,+0.61,+3.98%,215.63K,14/05
Liberty Media Formula A,56.08,56.30,54.62,+1.96,+3.62%,214.25K,14/05
Lakeland,14.84,15.17,14.79,-0.12,-0.80%,214.21K,14/05
First Fin Bcorp,20.20,20.54,20.05,-0.08,-0.39%,213.50K,14/05
Heartland Exp.,14.07,14.28,13.90,-0.01,-0.07%,212.49K,14/05
ENGlobal Corp,1.000,1.040,0.950,+0.060,+6.39%,211.93K,14/05
FirstCash,73.90,74.58,71.78,+1.35,+1.86%,211.84K,14/05
Progress SWare,47.06,47.29,46.13,+1.40,+3.07%,211.67K,14/05
MakeMyTrip Ltd,23.46,23.81,23.01,+0.79,+3.48%,211.25K,14/05
Hub Group,73.74,75.55,73.49,-0.30,-0.41%,209.77K,14/05
American Sup.,5.15,5.22,4.85,+0.36,+7.52%,209.61K,14/05
Sellas Life Sciences,2.66,2.72,2.30,+0.25,+10.37%,207.68K,14/05
Origin Agritech,7.040,7.445,6.790,+0.260,+3.83%,207.20K,14/05
Hallador Energy,4.320,4.400,4.150,+0.210,+5.11%,206.65K,14/05
Republic First,4.000,4.085,3.980,-0.040,-0.99%,205.64K,14/05
Digi International,21.74,21.81,20.49,+1.35,+6.62%,202.40K,14/05
Cathay General,39.40,40.01,39.11,+0.20,+0.51%,202.18K,14/05
Koss Corp,6.01,6.16,5.59,+0.44,+7.90%,201.72K,14/05
RadNet,17.87,18.03,17.22,+0.76,+4.44%,201.21K,14/05
ZW Data Action Technologies,0.3100,0.3300,0.2931,+0.0224,+7.79%,198.71K,14/05
Cresud S.A.C.I.F.,6.360,6.440,6.030,+0.280,+4.61%,198.03K,14/05
Forward Air,96.19,98.37,95.88,+1.14,+1.20%,196.59K,14/05
르네산트,29.23,30.13,28.85,-0.17,-0.58%,194.89K,14/05
Cyren,1.8200,1.8800,1.6800,+0.1600,+9.64%,193.94K,14/05
케이시제너럴스토어,207.74,208.22,203.67,+3.80,+1.86%,193.67K,14/05
Old Second Bancorp,13.83,14.05,13.71,-0.01,-0.07%,193.26K,14/05
Gibraltar Ind.,38.57,39.80,38.36,+0.25,+0.65%,192.78K,14/05
CECO Envir,5.470,5.630,5.390,+0.070,+1.30%,191.82K,14/05
AtriCure,42.89,43.75,41.87,+1.21,+2.90%,191.71K,14/05
NETGEAR,19.89,20.16,19.67,+0.25,+1.27%,191.37K,14/05
H.C.C.,11.12,11.29,11.02,-0.06,-0.54%,191.18K,14/05
Meta Financial,39.43,40.03,38.86,+0.57,+1.47%,190.73K,14/05
Shoe Carnival,30.98,31.67,30.43,+0.57,+1.87%,190.09K,14/05
Daktronics,3.190,3.260,3.160,-0.040,-1.24%,189.75K,14/05
Urban One D,6.460,6.640,6.210,+0.250,+4.03%,189.29K,14/05
Sify Technologies,2.080,2.190,1.930,+0.130,+6.67%,188.67K,14/05
ManTech Intl,81.97,82.47,81.21,+0.19,+0.23%,187.83K,14/05
First Busey,22.07,22.45,22.00,-0.15,-0.68%,187.79K,14/05
Maiden Holdings,2.300,2.340,2.180,+0.110,+5.02%,185.96K,14/05
Carver Bancorp,8.10,8.25,7.53,+0.61,+8.14%,185.74K,14/05
Richardson Elec,13.840,13.840,12.320,+1.840,+15.33%,185.06K,14/05
Motorcar Parts of America,13.99,14.15,13.70,+0.40,+2.94%,182.22K,14/05
Golden Entertainment,45.83,46.65,43.74,+2.59,+5.99%,181.24K,14/05
Descartes Systems,59.96,60.13,57.49,+2.86,+5.01%,180.83K,14/05
C.V.G. Inc,6.61,6.78,6.47,+0.19,+2.96%,180.76K,14/05
Consumer Portfolio,13.620,14.050,13.370,+0.430,+3.26%,180.55K,14/05
iCAD Inc,3.59,3.71,3.52,+0.04,+1.13%,180.34K,14/05
ExlService Hldg,135.20,137.10,132.76,+3.61,+2.74%,178.27K,14/05
Coherent,269.42,270.08,268.08,+2.15,+0.80%,177.77K,14/05
레콘 테크,0.860,0.880,0.810,+0.040,+4.88%,177.68K,14/05
Vidler Water Resources,15.69,15.73,15.67,+0.05,+0.32%,177.66K,14/05
Novanta,128.06,128.87,123.88,+4.16,+3.36%,177.16K,14/05
Nordson Corp,211.97,213.91,209.40,+2.14,+1.02%,176.76K,14/05
Advanced Energy,79.52,80.10,77.02,+3.61,+4.76%,174.39K,14/05
PFSweb,12.560,12.610,12.260,+0.220,+1.78%,171.06K,14/05
CSG Systems,58.36,58.87,57.93,+0.30,+0.52%,170.43K,14/05
Great Lakes,14.08,14.27,14.05,-0.02,-0.14%,168.87K,14/05
리간드 파마,85.96,86.02,80.61,+5.54,+6.89%,168.75K,14/05
Pingtan Marine Enterprise Ltd,0.9444,0.9532,0.8500,+0.0444,+4.93%,167.18K,14/05
Banner Corp,54.70,55.40,54.42,+0.29,+0.53%,165.71K,14/05
CEVA,34.54,35.20,33.23,+1.65,+5.02%,165.21K,14/05
소노마 파머,3.440,3.590,2.900,+0.440,+14.67%,164.47K,14/05
Gilat Satellite Networks Ltd,6.710,6.780,6.490,+0.220,+3.39%,164.46K,14/05
Indepen. Bank,76.81,78.44,76.36,-0.34,-0.44%,164.28K,14/05
Liquid Media,0.3901,0.4095,0.3501,+0.0201,+5.43%,163.41K,14/05
아이데라 파마,0.3507,0.3710,0.3500,+0.0309,+9.66%,162.82K,14/05
Cptl Southwest,22.67,22.80,21.90,+0.79,+3.61%,160.77K,14/05
Dime Community,30.68,31.18,30.55,+0.13,+0.43%,160.41K,14/05
라이프 테크놀로지스,3.060,3.187,3.000,+0.040,+1.32%,160.02K,14/05
Lightbridge Corp,5.670,5.800,5.090,+0.790,+16.19%,158.94K,14/05
Astec Ind.,43.32,43.45,42.06,+1.36,+3.24%,158.33K,14/05
Centaurus 2002,42.37,42.60,41.73,+0.66,+1.58%,155.79K,14/05
Rush A,50.95,51.45,50.34,+0.56,+1.11%,155.09K,14/05
Helen of Troy Ltd,205.19,211.62,203.13,-3.62,-1.73%,154.97K,14/05
Innodata Isogen,7.600,7.920,7.120,+0.610,+8.73%,154.79K,14/05
Littelfuse,264.99,265.67,258.39,+9.87,+3.87%,154.02K,14/05
Allegiant Trvl,142.90,144.14,139.43,+3.86,+2.78%,152.67K,14/05
A.P.E.I.,13.63,14.00,13.60,+0.06,+0.44%,148.98K,14/05
Otter Tail Corp,62.56,63.10,61.22,+0.97,+1.57%,146.05K,14/05
Geospace Tech,5.160,5.590,5.140,-0.180,-3.37%,146.01K,14/05
Sandy Spring,38.24,38.87,38.11,-0.21,-0.55%,144.22K,14/05
Res Connect,16.66,16.87,16.32,+0.25,+1.52%,144.03K,14/05
LightPath Technol,1.620,1.669,1.290,+0.310,+23.66%,142.61K,14/05
PDF Solutions,23.96,24.71,23.32,+1.07,+4.67%,141.59K,14/05
Sanderson Farms,188.04,190.28,187.31,+0.50,+0.27%,140.79K,14/05
AngioDynamics,18.69,18.88,18.08,+0.71,+3.95%,140.34K,14/05
CTI Industries Corp,0.820,0.857,0.775,+0.043,+5.52%,139.70K,14/05
Matthews Intern,30.10,30.55,30.06,+0.14,+0.47%,139.69K,14/05
KVH Industries,7.85,7.90,7.45,+0.47,+6.37%,137.91K,14/05
Camtek Ltd,27.88,28.39,27.00,+0.94,+3.49%,137.54K,14/05
Identiv,11.79,11.99,11.62,+0.30,+2.61%,135.79K,14/05
Apogee Enterp,40.82,41.20,40.32,+0.35,+0.86%,135.59K,14/05
Telesat,13.74,13.94,13.33,+0.62,+4.73%,135.31K,14/05
HAFC,22.44,22.90,22.19,-0.02,-0.09%,133.76K,14/05
Colliers International,111.69,111.83,107.16,+5.25,+4.93%,132.35K,14/05
Hackett Group,21.18,23.06,21.08,-0.32,-1.49%,131.84K,14/05
ADES,5.120,5.190,4.980,+0.020,+0.39%,131.45K,14/05
Eyepoint Pharma,9.890,10.390,9.400,+0.530,+5.66%,131.38K,14/05
Premier Financial,25.84,26.72,25.68,-0.39,-1.49%,128.90K,14/05
Great Elm Group,2.130,2.130,2.000,+0.063,+3.03%,127.71K,14/05
Heartland Fin.,41.72,43.10,41.45,-0.33,-0.78%,127.52K,14/05
Gentherm Inc,65.69,66.30,64.11,+2.56,+4.06%,126.46K,14/05
마틴 미드,4.080,4.200,3.977,+0.180,+4.62%,125.96K,14/05
MYR Group,84.48,85.51,83.55,+0.38,+0.45%,124.91K,14/05
Dorman Products,100.83,101.11,97.51,+2.16,+2.19%,124.35K,14/05
Plus Therapeutics,0.484,0.520,0.463,+0.021,+4.58%,123.79K,14/05
Intevac,5.060,5.170,4.850,+0.130,+2.64%,123.52K,14/05
EDAP TMS SA,6.490,6.520,6.190,+0.240,+3.84%,123.01K,14/05
InterDigital,59.65,60.09,58.74,+1.02,+1.74%,122.67K,14/05
Horizon Bancorp,17.12,17.51,17.07,-0.26,-1.50%,120.83K,14/05
Columbus McKin.,33.31,34.05,33.12,-0.09,-0.27%,120.16K,14/05
Flushing Fin.,22.07,22.22,21.71,+0.27,+1.24%,119.29K,14/05
IntriCon Corp,23.93,24.05,23.93,-0.02,-0.08%,118.17K,14/05
Lantronix,5.710,5.710,5.260,+0.460,+8.76%,117.50K,14/05
M.G.R.C.,81.86,82.21,79.09,+2.37,+2.98%,116.58K,14/05
Calavo Growers,31.19,31.70,30.56,+0.54,+1.76%,116.01K,14/05
RBC Bearings,159.65,162.81,157.81,+0.10,+0.06%,115.24K,14/05
Anika Therap,22.28,22.63,21.87,+0.44,+2.01%,114.84K,14/05
DXP Enterprises,26.03,26.14,25.29,+0.30,+1.17%,114.71K,14/05
PC-Tel,4.150,4.180,4.000,+0.160,+4.01%,112.95K,14/05
Ingles Markets,93.21,94.55,91.84,-0.57,-0.61%,112.85K,14/05
Nova Measuring Instruments Ltd,100.40,102.43,98.50,+2.97,+3.05%,112.77K,14/05
NBT Bancorp Inc,35.37,36.11,35.12,-0.54,-1.50%,112.13K,14/05
OSI Systems,81.21,81.43,80.04,+1.33,+1.67%,111.94K,14/05
Innospec Inc,101.49,102.75,98.60,+1.24,+1.24%,111.76K,14/05
QCR Holdings,52.07,53.43,52.01,-0.72,-1.36%,111.69K,14/05
Broadwind Energy,1.590,1.640,1.550,+0.020,+1.27%,110.15K,14/05
J & J Snack Foods,130.47,131.63,126.49,+3.36,+2.64%,109.99K,14/05
BOK Financial Corp,83.73,86.43,82.98,-0.26,-0.31%,109.37K,14/05
Inter Parfums,73.00,75.32,71.86,+0.94,+1.30%,109.37K,14/05
Clearfield,53.56,53.93,51.25,+2.83,+5.58%,108.65K,14/05
StealthGas,2.470,2.500,2.392,+0.110,+4.66%,107.76K,14/05
ARCA Biopharma,2.310,2.388,2.250,+0.015,+0.65%,107.69K,14/05
Balchem Corp,118.91,120.10,117.78,+1.14,+0.97%,106.61K,14/05
Heidri.&Strug.,31.10,31.89,30.92,-0.18,-0.58%,105.77K,14/05
Globus Maritime,2.060,2.090,2.010,+0.080,+4.04%,105.72K,14/05
Bimi International Medical,0.6710,0.7000,0.6520,+0.0410,+6.51%,105.69K,14/05
German American,34.83,35.78,34.79,-0.50,-1.42%,104.50K,14/05
PriceSmart,78.68,78.86,76.80,+0.80,+1.03%,104.04K,14/05
알테리티 테라퓨틱스,0.6626,0.6700,0.6033,+0.0260,+4.08%,103.87K,14/05
Century Casinos,9.02,9.20,8.31,+0.79,+9.60%,103.53K,14/05
Lancaster Col.,139.10,139.49,136.56,+3.58,+2.64%,103.49K,14/05
Hallmark Fin.,2.910,2.980,2.670,-0.260,-8.20%,102.64K,14/05
Dmc Global,21.66,22.47,21.26,-0.06,-0.28%,102.12K,14/05
Computer Prog,32.28,32.47,31.47,+0.75,+2.38%,102.09K,14/05
Engine Media Holdings Inc,0.86,0.95,0.83,-0.04,-5.00%,101.34K,14/05
Capital Product,15.74,16.00,14.79,+1.05,+7.15%,101.27K,14/05
The Dixie Group,2.080,2.170,1.950,+0.110,+5.58%,99.25K,14/05
ePlus Inc,55.60,56.05,54.79,+0.75,+1.37%,98.80K,14/05
NAPCO Security Te,17.22,17.29,16.74,+0.61,+3.67%,97.59K,14/05
Enterprise Fin.,42.98,43.89,42.85,-0.51,-1.17%,96.86K,14/05
Newtek Business S,25.16,25.27,24.65,+0.55,+2.23%,96.77K,14/05
Thermogenesis Holdings,0.361,0.382,0.332,+0.001,+0.39%,96.62K,14/05
Kaiser Aluminum,95.34,97.62,94.38,+0.29,+0.31%,96.56K,14/05
Heska Corp,88.19,89.24,85.76,+3.30,+3.89%,96.31K,14/05
American SWare,16.78,16.88,16.15,+0.73,+4.55%,96.11K,14/05
HealthStream,19.28,19.49,19.08,+0.04,+0.21%,95.70K,14/05
O2Micro International,3.050,3.150,2.930,+0.130,+4.45%,95.62K,14/05
프로페이즈,7.030,7.700,7.030,+0.510,+7.82%,94.51K,14/05
바이오레이즈,3.9900,4.1300,3.6000,+0.5700,+16.67%,94.23K,14/05
Heritage Fin.,24.47,24.77,24.35,-0.18,-0.73%,92.59K,14/05
ICF Intl,95.24,96.58,94.56,-0.05,-0.05%,92.50K,14/05
Alpine Immune Sciences,7.550,7.700,6.621,+0.840,+12.52%,92.05K,14/05
Kforce,70.70,71.58,69.94,+1.44,+2.08%,91.78K,14/05
Scholastic Corp,36.53,37.03,35.68,+0.42,+1.16%,91.65K,14/05
Lincoln Edu,5.510,5.565,5.275,+0.250,+4.75%,91.38K,14/05
QuickLogic Corp,5.670,5.849,5.150,+0.250,+4.61%,91.33K,14/05
Astronics Corp,10.71,10.85,10.47,+0.17,+1.61%,90.88K,14/05
First Bancorp NC,36.26,36.90,36.21,-0.22,-0.60%,90.60K,14/05
Fuel Tech,1.210,1.240,1.110,+0.060,+5.22%,90.44K,14/05
Orthofix,27.18,27.57,26.59,+0.69,+2.60%,90.18K,14/05
FARO Tech,33.64,33.96,33.17,+0.86,+2.62%,90.15K,14/05
Lakeland Fin.,69.89,71.48,69.80,-1.34,-1.88%,89.65K,14/05
Cyclacel Pharmaceuticals,1.390,1.420,1.350,-0.010,-0.71%,89.63K,14/05
애스트로테크,0.5030,0.5130,0.4910,+0.0130,+2.65%,89.33K,14/05
Acer Therapeutics,1.940,1.950,1.800,+0.110,+6.01%,87.10K,14/05
Atlanticus Holdings Corp,35.25,37.36,34.48,+0.59,+1.70%,86.81K,14/05
Marchex,2.240,2.320,1.980,+0.240,+12.00%,86.81K,14/05
MGE Energy Inc,80.88,81.64,79.95,-0.38,-0.47%,86.71K,14/05
Plexus Corp,82.17,82.71,81.17,+1.09,+1.34%,86.40K,14/05
Credit Accept,588.58,591.71,566.58,+27.11,+4.83%,85.80K,14/05
RCI Hospitality,58.51,59.82,58.08,+0.91,+1.58%,85.76K,14/05
Pure Cycle Corp,10.01,10.13,9.85,+0.15,+1.52%,84.55K,14/05
Northfield Bancorp,12.67,12.86,12.62,-0.13,-1.02%,84.12K,14/05
BCB Bancorp,18.67,18.93,18.53,+0.17,+0.92%,83.72K,14/05
Delcath Systems,4.83,5.35,4.68,+0.13,+2.77%,82.45K,14/05
Bridgeline Digital,1.290,1.300,1.210,+0.050,+4.03%,82.06K,14/05
Capstone Green Energy,2.600,2.600,2.300,+0.260,+11.11%,81.25K,14/05
Eagle Bancorp,48.90,49.84,48.51,-0.48,-0.97%,80.53K,14/05
eGain Communications,9.40,9.78,9.40,-0.10,-1.05%,80.48K,14/05
Farmers Ntnl,14.77,15.16,14.74,-0.27,-1.80%,80.42K,14/05
Monarch Casino,68.80,69.40,66.09,+3.75,+5.76%,78.17K,14/05
S&W Seed Company,1.400,1.440,1.370,+0.040,+2.94%,76.44K,14/05
Rimage Corp,1.000,1.053,0.980,-0.070,-6.54%,75.57K,14/05
First Citizens Bancshares,646.00,648.01,627.10,+18.90,+3.01%,74.88K,14/05
Broadway Financial,1.430,1.500,1.400,+0.020,+1.42%,74.64K,14/05
Safety Insu,83.45,85.22,82.56,-0.92,-1.09%,74.21K,14/05
Salem Media,2.610,2.700,2.490,+0.130,+5.24%,74.15K,14/05
John B Sanfilip,75.68,75.90,73.62,+1.69,+2.28%,73.83K,14/05
AMERISAFE,47.87,48.24,47.45,+0.02,+0.04%,73.76K,14/05
Haynes International,37.89,38.55,36.05,+1.13,+3.07%,73.60K,14/05
JAKKS Pacific,14.29,14.58,13.50,+0.88,+6.56%,73.07K,14/05
ADDvantage Technologies,1.260,1.280,1.169,+0.126,+11.09%,72.24K,14/05
Agilysys,36.06,36.48,33.97,+1.78,+5.19%,72.13K,14/05
Macatawa Bank Cor,8.970,9.040,8.810,-0.020,-0.22%,71.86K,14/05
The First Bancshares,31.12,31.61,30.59,-0.12,-0.38%,71.04K,14/05
Peraso,1.730,1.950,1.490,+0.120,+7.45%,70.99K,14/05
